Genre,feature0,feature1,feature2
Blues,0.005254909686467222,0.011300148333929647,0.012921745403995391
Blues,0.013263310864520865,0.006549678355217506,0.011135151422742014
Blues,0.007163923043600332,0.012247322241527317,0.011826029818353326
Blues,0.012809045466842004,0.010614614761116492,0.011517345700520688
Blues,0.009035263242092237,0.007937968038774276,0.0103252714056849
Blues,0.006258855191868521,0.007247514697163518,0.007081450218138725
Blues,0.014374026040369955,0.007521484386040618,0.009480320254281865
Blues,0.00609702619043041,0.014854592355833886,0.0070089315328183115
Blues,0.005332850803560365,0.0107620262424486,0.009574087394239919
Blues,0.012030669984868604,0.011416118070634421,0.009192110324472785
Blues,0.013846765670619675,0.014220516302787693,0.010277161971904787
Blues,0.014381913772188025,0.005690258350122843,0.013423222949724905
Blues,0.007141822096407265,0.011182383708963014,0.007467089773507171
Blues,0.006314731111921697,0.009023109719946996,0.005759217009052442
Blues,0.01173193685238421,0.009187144880549449,0.007829028407456806
Blues,0.008822377663839899,0.01141779775415802,0.011961855800122937
Blues,0.006180484343235909,0.009376420167802154,0.005355357099384411
Blues,0.008696149177750242,0.009172758406267065,0.01410396616922182
Blues,0.007946316610665674,0.007702477705042295,0.007659728671497825
Blues,0.014099229596349183,0.013408220830124152,0.008156926989116698
Blues,0.01458520294463148,0.013733353295012012,0.008646515452165842
Blues,0.014843435045326904,0.009715924469762272,0.006117654502777125
Blues,0.005121665078733851,0.00917704688527629,0.013980899161777048
Blues,0.013184261997155462,0.00808586522879183,0.014449948772002202
Blues,0.013457389473956808,0.006642389333263884,0.009617292092875995
Blues,0.00998199268239168,0.006074889028085051,0.007541421512067561
Blues,0.006036216167968622,0.013999782031082084,0.00904685656510159
Blues,0.006487351986585788,0.005621365112713372,0.011814495137632337
Blues,0.007917845190859273,0.010452159522349479,0.007695467674438508
Blues,0.010616409190006186,0.005568813897318593,0.006682094367729922
Blues,0.007914398381265482,0.011566515746101758,0.009728951971965723
Blues,0.006017345558699053,0.013099360504959488,0.012830018013474855
Blues,0.005529130969372365,0.00941301361012226,0.007322698503407938
Blues,0.005047758309420961,0.005409689235694736,0.007673239061020437
Blues,0.009914644481760115,0.011092875219303251,0.007299843037397674
Blues,0.0070955863257276056,0.012296870059378674,0.0052952567061457624
Blues,0.008002614439100579,0.014790780809371469,0.005433291064035082
Blues,0.01292898640869588,0.014580456737466357,0.008936111577020782
Blues,0.008920907229121134,0.011474124144970609,0.010720574582387687
Blues,0.008135173611825502,0.009539740324178637,0.008727124800655555
Blues,0.00741474187588519,0.011337504125521765,0.010363836188745774
Blues,0.005891258145987258,0.00841645163562488,0.01135147283482531
Blues,0.012895336647578446,0.01166763646218218,0.014911219111820521
Blues,0.009172874424211021,0.014820380877810329,0.013545396060708655
Blues,0.008287642254315688,0.013848966412264956,0.013432034794012181
Blues,0.006578411113710821,0.013080916234582875,0.011292422434080214
Blues,0.006456452001519448,0.006274521239470423,0.011952061109177431
Blues,0.007633695193223903,0.013306139370466232,0.011197499384730511
Blues,0.012378727235338782,0.01047621996151242,0.009864028687281793
Blues,0.01465223116606924,0.008314355688914121,0.01488336181714621
Blues,0.010226703774124053,0.012743782299953564,0.010558329451081417
Blues,0.009096174839510852,0.011771177844448314,0.009713235304037084
Blues,0.011008509634266788,0.014255719073458559,0.014243668497723325
Blues,0.007366263130630349,0.013480579651080949,0.01358129977430127
Blues,0.005488396729269316,0.006084255866322436,0.006301199553987408
Blues,0.005675986586235114,0.011292204996669792,0.011629728348095012
